Name,Status,District,Population Census 1991-03-01,Population Census 2001-03-01,Population Census 2011-03-01,query,lat,lon
Mallur,Town Panchayat,Salem,"7,939","9,503","10,331","Mallur, Salem, Tamil Nadu, India",11.5541222,78.1348392
Malumichampatti,Census Town,Coimbatore,...,"7,176","12,936","Malumichampatti, Coimbatore, Tamil Nadu, India",10.9371931,76.9996318
Mamsapuram,Town Panchayat,Virudhunagar,...,"17,927","18,635","Mamsapuram, Virudhunagar, Tamil Nadu, India",9.4987433,77.5891074
Manachanallur,Town Panchayat,Tiruchirappalli,"18,611","21,511","25,931","Manachanallur, Tiruchirappalli, Tamil Nadu, India",10.9114112,78.699836
Manali,Municipality,Thiruvallur,"19,093","28,597","35,248","Manali, Thiruvallur, Tamil Nadu, India",13.1672275,80.2598107
Manalmedu,Town Panchayat,Nagapattinam,...,"9,275","9,017","Manalmedu, Nagapattinam, Tamil Nadu, India",10.5983658,79.8482269
Manamadurai,Town Panchayat,Sivaganga,"22,879","26,253","32,257","Manamadurai, Sivaganga, Tamil Nadu, India",9.8228529,78.4796333
Manapparai,Municipality,Tiruchirappalli,"31,837","35,770","40,510","Manapparai, Tiruchirappalli, Tamil Nadu, India",10.6082305,78.4231246
Manavalakurichi,Town Panchayat,Kanniyakumari,...,"10,412","10,969","Manavalakurichi, Kanniyakumari, Tamil Nadu, India",8.1768725,77.3007904
Mandaikadu,Town Panchayat,Kanniyakumari,...,"12,375","13,317","Mandaikadu, Kanniyakumari, Tamil Nadu, India",8.162546,77.2790757
Mandapam,Town Panchayat,Ramanathapuram,"19,935","16,343","18,427","Mandapam, Ramanathapuram, Tamil Nadu, India",9.282701,79.1526713
Mangalam,Census Town,Tiruppur,...,"10,016","17,699","Mangalam, Tiruppur, Tamil Nadu, India",11.101846,77.2709823
Mangalampet,Town Panchayat,Cuddalore,...,"7,281","9,278","Mangalampet, Cuddalore, Tamil Nadu, India",11.6338647,79.2791234
Manimutharu,Town Panchayat,Tirunelveli,...,"12,613","11,323","Manimutharu, Tirunelveli, Tamil Nadu, India",8.6549702,77.4113761
Manjakollai,Census Town,Nagapattinam,...,...,"5,040","Manjakollai, Nagapattinam, Tamil Nadu, India",10.7572364,79.8185934
Manjalumoodu,Census Town,Kanniyakumari,...,...,"6,840","Manjalumoodu, Kanniyakumari, Tamil Nadu, India",8.3759767,77.2251542
Mannarai,Census Town,Tiruppur,...,...,"17,261","Mannarai, Tiruppur, Tamil Nadu, India",11.1297212,77.3652982
Mannargudi,Municipality,Thiruvarur,"56,552","61,478","66,999","Mannargudi, Thiruvarur, Tamil Nadu, India",10.675141,79.4553714
Mappilaiurani,Census Town,Thoothukkudi,"13,327","27,361","40,035","Mappilaiurani, Thoothukkudi, Tamil Nadu, India",8.8404956,78.1508052
Marakkanam,Town Panchayat,Viluppuram,...,"19,139","22,034","Marakkanam, Viluppuram, Tamil Nadu, India",12.1959326,79.9441819
Maramangalathupatti,Census Town,Salem,"8,311","11,385","12,448","Maramangalathupatti, Salem, Tamil Nadu, India",11.6835745,78.045186
Marandahalli,Town Panchayat,Dharmapuri,...,"10,177","12,451","Marandahalli, Dharmapuri, Tamil Nadu, India",12.3879935,78.0034824
Markayankottai,Town Panchayat,Theni,...,"5,829","6,135","Markayankottai, Theni, Tamil Nadu, India",9.8530809,77.3607789
Marudur,Town Panchayat,Karur,...,"10,214","10,925","Marudur, Karur, Tamil Nadu, India",10.7760979,78.3966101
Maruthancode,Census Town,Kanniyakumari,...,...,"8,277","Maruthancode, Kanniyakumari, Tamil Nadu, India",8.3374542,77.1950476
Mathicode,Census Town,Kanniyakumari,...,...,"6,532","Mathicode, Kanniyakumari, Tamil Nadu, India",8.2282761,77.2596682
Mathigiri,Town Panchayat,Krishnagiri,...,"15,257","23,129","Mathigiri, Krishnagiri, Tamil Nadu, India",12.6928265,77.8062946
Mathur,Census Town,Thiruvallur,...,...,"27,674","Mathur, Thiruvallur, Tamil Nadu, India",13.1678641,80.2436918
Mayiladuthurai,Municipality,Nagapattinam,"76,837","84,505","85,632","Mayiladuthurai, Nagapattinam, Tamil Nadu, India",10.8271678,79.6363084
Mecheri,Town Panchayat,Salem,...,"20,455","25,676","Mecheri, Salem, Tamil Nadu, India",11.8336719,77.9424303
Melacheval,Town Panchayat,Tirunelveli,...,"7,780","8,435","Melacheval, Tirunelveli, Tamil Nadu, India",8.6718741,77.6152217
Melachokkanathapuram,Town Panchayat,Theni,...,"11,669","15,625","Melachokkanathapuram, Theni, Tamil Nadu, India",9.992605,77.357457
Melattur,Town Panchayat,Thanjavur,...,"8,103","8,131","Melattur, Thanjavur, Tamil Nadu, India",10.8590685,79.2403246
