Name,Status,District,Population Census 1991-03-01,Population Census 2001-03-01,Population Census 2011-03-01,query,lat,lon
Pattukkottai,Municipality,Thanjavur,"58,062","65,533","73,135","Pattukkottai, Thanjavur, Tamil Nadu, India",10.4162901,79.3205603
Pavali,Census Town,Virudhunagar,...,...,"7,622","Pavali, Virudhunagar, Tamil Nadu, India",9.6026054,77.9211313
Pennadam,Town Panchayat,Cuddalore,...,"18,166","19,494","Pennadam, Cuddalore, Tamil Nadu, India",11.4028109,79.2416716
Pennagaram,Town Panchayat,Dharmapuri,...,"15,306","17,480","Pennagaram, Dharmapuri, Tamil Nadu, India",12.1125277,77.8677247
Pennathur,Town Panchayat,Vellore,...,"8,151","9,425","Pennathur, Vellore, Tamil Nadu, India",12.8380301,79.1276944
Peraiyur,Town Panchayat,Madurai,"7,830","9,614","10,394","Peraiyur, Madurai, Tamil Nadu, India",9.7481573,77.738655
Peralam,Town Panchayat,Thiruvarur,...,"5,842","6,149","Peralam, Thiruvarur, Tamil Nadu, India",10.9582262,79.6570624
Perambakkam,Census Town,Thiruvallur,...,"5,398","6,462","Perambakkam, Thiruvallur, Tamil Nadu, India",13.0377208,79.8133227
Perambalur,Municipality,Perambalur,"26,451","37,631","49,648","Perambalur, Perambalur, Tamil Nadu, India",11.2356695,78.8688353
Peranamallur,Town Panchayat,Tiruvannamalai,...,"5,557","5,801","Peranamallur, Tiruvannamalai, Tamil Nadu, India",12.56506,79.435111
Peravurani,Town Panchayat,Thanjavur,...,"21,045","22,084","Peravurani, Thanjavur, Tamil Nadu, India",10.2857334,79.2006507
Periyakulam,Municipality,Theni,"46,744","42,012","42,976","Periyakulam, Theni, Tamil Nadu, India",10.1198663,77.5467069
Periyamanali,Census Town,Namakkal,...,...,"6,878","Periyamanali, Namakkal, Tamil Nadu, India",11.3746176,78.0725779
Periya Negamam,Town Panchayat,Coimbatore,...,"7,683","7,098","Periya Negamam, Coimbatore, Tamil Nadu, India",10.7470722,77.1008245
Periyapatti,Census Town,Namakkal,...,"5,772","15,690","Periyapatti, Namakkal, Tamil Nadu, India",11.2159662,78.1470787
Periyasemur,Municipality,Erode,...,"32,024","55,282","Periyasemur, Erode, Tamil Nadu, India",11.366551,77.6978494
Pernampattu,Municipality,Vellore,"36,195","41,499","51,271","Pernampattu, Vellore, Tamil Nadu, India",12.9366728,78.7187469
Perumagalur,Town Panchayat,Thanjavur,...,"5,405","5,604","Perumagalur, Thanjavur, Tamil Nadu, India",10.1859213,79.1954237
Perumanallur,Census Town,Tiruppur,...,"4,994","7,356","Perumanallur, Tiruppur, Tamil Nadu, India",11.2060748,77.3584622
Perundurai,Town Panchayat,Erode,...,"16,943","24,930","Perundurai, Erode, Tamil Nadu, India",11.2539029,77.6288316
Perur,Town Panchayat,Coimbatore,"6,823","7,965","8,004","Perur, Coimbatore, Tamil Nadu, India",10.976406,76.9141784
Perur Chettipalayam,Census Town,Coimbatore,...,"12,932","17,809","Perur Chettipalayam, Coimbatore, Tamil Nadu, India",10.9732558,76.902599
Peruvilai,Census Town,Kanniyakumari,...,...,"6,090","Peruvilai, Kanniyakumari, Tamil Nadu, India",8.1818202,77.3933387
Pethampalayam,Town Panchayat,Erode,...,"7,120","7,152","Pethampalayam, Erode, Tamil Nadu, India",11.3439832,77.5550545
Pichandarkovil,Census Town,Tiruchirappalli,...,"10,164","17,257","Pichandarkovil, Tiruchirappalli, Tamil Nadu, India",10.8775915,78.7080495
Pillanallur,Town Panchayat,Namakkal,"8,405","9,161","11,181","Pillanallur, Namakkal, Tamil Nadu, India",11.4302143,78.1318167
P. Mettupalayam,Town Panchayat,Erode,...,"9,115","9,109","P. Mettupalayam, Erode, Tamil Nadu, India",11.2536017,77.6642827
Pollachi,Municipality,Coimbatore,"86,897","88,302","90,180","Pollachi, Coimbatore, Tamil Nadu, India",10.6588234,77.00873
Polur,Town Panchayat,Tiruvannamalai,"23,046","25,505","28,123","Polur, Tiruvannamalai, Tamil Nadu, India",12.5937689,79.1385342
Ponmanai,Town Panchayat,Kanniyakumari,...,"13,480","15,554","Ponmanai, Kanniyakumari, Tamil Nadu, India",8.3555192,77.3284936
Ponnamaravathi,Town Panchayat,Pudukkottai,...,"11,776","12,676","Ponnamaravathi, Pudukkottai, Tamil Nadu, India",10.2748695,78.5655361
Ponnampatti,Town Panchayat,Tiruchirappalli,...,"10,660","12,167","Ponnampatti, Tiruchirappalli, Tamil Nadu, India",10.4628294,78.2796585
Ponneri,Town Panchayat,Thiruvallur,"22,375","24,309","31,025","Ponneri, Thiruvallur, Tamil Nadu, India",13.3710903,80.2428419
Poolambadi,Town Panchayat,Perambalur,...,"10,027","10,737","Poolambadi, Perambalur, Tamil Nadu, India",11.4121053,78.7144339
Poolampatti,Town Panchayat,Salem,...,"8,999","9,477","Poolampatti, Salem, Tamil Nadu, India",11.6564791,77.7652169
Poolankinar,Census Town,Tiruppur,...,"4,779","4,849","Poolankinar, Tiruppur, Tamil Nadu, India",10.5997337,77.1857875
Pooluvapatti,Town Panchayat,Coimbatore,...,"11,964","12,853","Pooluvapatti, Coimbatore, Tamil Nadu, India",10.9596773,76.8149681
Poonamallee,Municipality with Outgrowth,Thiruvallur,"28,827","42,604","60,607","Poonamallee, Thiruvallur, Tamil Nadu, India",13.0492031,80.1010677
Poravacheri,Census Town,Nagapattinam,...,"4,115","4,422","Poravacheri, Nagapattinam, Tamil Nadu, India",10.7572356,79.8080753
Porur,Town Panchayat,Thiruvallur,"19,507","28,924","46,690","Porur, Thiruvallur, Tamil Nadu, India",13.0320131,80.158304
Pothanur,Town Panchayat,Namakkal,...,"13,728","18,455","Pothanur, Namakkal, Tamil Nadu, India",11.1091359,77.9877841
Pudukkottai,Census Town,Pudukkottai,"11,091","17,607","26,116","Pudukkottai, Pudukkottai, Tamil Nadu, India",10.3826515,78.8191259
Pudukkottai,Municipality,Pudukkottai,"99,058","109,217","117,630","Pudukkottai, Pudukkottai, Tamil Nadu, India",10.3826515,78.8191259
Pudupalayam,Town Panchayat,Tiruvannamalai,...,"10,005","11,382","Pudupalayam, Tiruvannamalai, Tamil Nadu, India",12.2897279,78.8835393
Pudupatti,Town Panchayat,Theni,...,"10,015","11,511","Pudupatti, Theni, Tamil Nadu, India",10.1288834,77.5740165
Pudupattinam,Census Town,Thanjavur,...,"7,261","10,210","Pudupattinam, Thanjavur, Tamil Nadu, India",10.7746935,79.1498599
Puduvayal,Town Panchayat,Sivaganga,"7,381","9,255","11,284","Puduvayal, Sivaganga, Tamil Nadu, India",10.1063959,78.847434
Puliyur,Town Panchayat,Karur,...,"11,491","12,720","Puliyur, Karur, Tamil Nadu, India",10.9390749,78.1449307
Pullampadi (Pullambadi),Town Panchayat,Tiruchirappalli,...,"11,215","10,241","Pullampadi (Pullambadi), Tiruchirappalli, Tamil Nadu, India",10.9396803,78.9171105
Puthagaram,Census Town,Thiruvallur,...,"6,451","10,263","Puthagaram, Thiruvallur, Tamil Nadu, India",13.1346231,80.1978478
Puthalam,Town Panchayat,Kanniyakumari,...,"11,835","13,073","Puthalam, Kanniyakumari, Tamil Nadu, India",8.1066173,77.4669227
Putheri,Census Town,Kanniyakumari,...,...,"5,576","Putheri, Kanniyakumari, Tamil Nadu, India",8.2138744,77.4327541
Puzhal,Town Panchayat,Thiruvallur,"15,868","20,639","31,665","Puzhal, Thiruvallur, Tamil Nadu, India",13.1636492,80.2038067
Rajapalayam,Municipality,Virudhunagar,"114,202","122,307","130,442","Rajapalayam, Virudhunagar, Tamil Nadu, India",9.4031584,77.5182644
Ramalingapuram,Census Town,Virudhunagar,...,"3,912","4,505","Ramalingapuram, Virudhunagar, Tamil Nadu, India",9.3812464,77.9331786
Ramanathapuram,Municipality,Ramanathapuram,"52,879","62,050","61,440","Ramanathapuram, Ramanathapuram, Tamil Nadu, India",9.3588632,78.8375276
Ramapuram,Census Town,Thiruvallur,...,"27,895","52,295","Ramapuram, Thiruvallur, Tamil Nadu, India",13.0298609,80.1780333
Rameswaram,Municipality,Ramanathapuram,"32,721","37,968","44,856","Rameswaram, Ramanathapuram, Tamil Nadu, India",9.2844657,79.3125553
Rasipuram,Municipality,Namakkal,"39,386","46,330","50,244","Rasipuram, Namakkal, Tamil Nadu, India",11.4537338,78.1784576
Rayagiri,Town Panchayat,Tirunelveli,...,"10,855","11,223","Rayagiri, Tirunelveli, Tamil Nadu, India",9.303713,77.4442452
R. Pudupatti,Town Panchayat,Namakkal,...,"11,915","7,478","R. Pudupatti, Namakkal, Tamil Nadu, India",11.1527839,78.2121084
R. S. Mangalam,Town Panchayat,Ramanathapuram,...,"11,043","14,565","R. S. Mangalam, Ramanathapuram, Tamil Nadu, India",9.6370191,78.8468952
Sakkarakottai,Census Town,Ramanathapuram,...,...,"15,355","Sakkarakottai, Ramanathapuram, Tamil Nadu, India",9.3432474,78.8406139
Salem,Municipal Corporation,Salem,"366,712","696,760","829,267","Salem, Salem, Tamil Nadu, India",11.6551982,78.1581771
Samalapuram,Town Panchayat,Tiruppur,...,"14,705","20,691","Samalapuram, Tiruppur, Tamil Nadu, India",11.0740895,77.1927057
Samathur,Town Panchayat,Coimbatore,...,"5,812","5,762","Samathur, Coimbatore, Tamil Nadu, India",10.6048766,77.014998
Samayanallur,Census Town,Madurai,...,"8,622","9,227","Samayanallur, Madurai, Tamil Nadu, India",9.9795005,78.0356611
Sankarankoil (Sankarankovil),Municipality,Tirunelveli,"48,846","53,606","57,277","Sankarankoil (Sankarankovil), Tirunelveli, Tamil Nadu, India",9.3087855,77.5485639
Sankaraperi,Census Town,Thoothukkudi,...,"11,551","19,844","Sankaraperi, Thoothukkudi, Tamil Nadu, India",8.8331568,78.1166475
Sankarapuram,Town Panchayat,Viluppuram,"5,456","12,263","15,664","Sankarapuram, Viluppuram, Tamil Nadu, India",11.8326789,79.4318219
Sankari (Sankagiri),Town Panchayat,Salem,...,"27,454","29,467","Sankari (Sankagiri), Salem, Tamil Nadu, India",11.4724083,77.8686343
Saravanampatti,Town Panchayat,Coimbatore,"10,753","17,737","32,920","Saravanampatti, Coimbatore, Tamil Nadu, India",11.0747296,77.0027116
Sathankulam,Town Panchayat,Thoothukkudi,...,"14,206","14,193","Sathankulam, Thoothukkudi, Tamil Nadu, India",8.4430918,77.9096381
Sathyamangalam,Municipality,Erode,"32,417","33,722","37,816","Sathyamangalam, Erode, Tamil Nadu, India",11.5523741,77.2653758
Sattur,Municipality,Virudhunagar,"29,226","31,443","29,398","Sattur, Virudhunagar, Tamil Nadu, India",9.322676,77.9418465
Sayalgudi,Town Panchayat,Ramanathapuram,...,"12,052","14,801","Sayalgudi, Ramanathapuram, Tamil Nadu, India",9.169397,78.4454258
Seerapalli,Town Panchayat,Namakkal,...,"11,753","12,403","Seerapalli, Namakkal, Tamil Nadu, India",11.2061033,77.9557372
Seithur,Town Panchayat,Virudhunagar,...,"18,012","20,228","Seithur, Virudhunagar, Tamil Nadu, India",9.4055407,77.4796092
Sembedu,Census Town,Vellore,...,"11,305","12,548","Sembedu, Vellore, Tamil Nadu, India",12.884317,79.0779868
Semmipalayam,Census Town,Tiruppur,...,"6,184","8,429","Semmipalayam, Tiruppur, Tamil Nadu, India",11.00908,77.236744
Senneerkuppam,Census Town,Thiruvallur,...,...,"16,237","Senneerkuppam, Thiruvallur, Tamil Nadu, India",13.0501739,80.1193176
Sentharapatti,Town Panchayat,Salem,...,"13,896","14,308","Sentharapatti, Salem, Tamil Nadu, India",11.4376749,78.5214133
Senur,Census Town,Vellore,...,"7,569","9,078","Senur, Vellore, Tamil Nadu, India",12.9418693,79.0526952
Sethiathoppu,Town Panchayat,Cuddalore,...,"7,963","8,824","Sethiathoppu, Cuddalore, Tamil Nadu, India",11.4362875,79.5423084
Sevilimedu,Town Panchayat,Kanchipuram,"13,433","16,125","23,454","Sevilimedu, Kanchipuram, Tamil Nadu, India",12.8089582,79.6681815
Sevur,Census Town,Vellore,"5,206","8,663","11,356","Sevur, Vellore, Tamil Nadu, India",12.9718001,79.1901017
Sevur,Census Town,Tiruvannamalai,...,"9,298","10,299","Sevur, Tiruvannamalai, Tamil Nadu, India",12.6864597,79.2686319
Shenbakkam,Town Panchayat,Vellore,...,"13,390","17,109","Shenbakkam, Vellore, Tamil Nadu, India",12.9270423,79.1170105
Shenkottai (Sengottai),Municipality,Tirunelveli,"25,820","26,838","26,823","Shenkottai (Sengottai), Tirunelveli, Tamil Nadu, India",8.9717717,77.2474154
Sholavandan,Town Panchayat,Madurai,...,"21,638","22,578","Sholavandan, Madurai, Tamil Nadu, India",10.022662,77.9653911
Silaiman,Census Town,Madurai,...,"5,250","6,436","Silaiman, Madurai, Tamil Nadu, India",9.8739731,78.1898831
Singaperumalkoil,Census Town,Kanchipuram,...,"8,083","13,566","Singaperumalkoil, Kanchipuram, Tamil Nadu, India",12.9107497,79.9320965
Sirugamani,Town Panchayat,Tiruchirappalli,...,"9,994","10,743","Sirugamani, Tiruchirappalli, Tamil Nadu, India",10.894713,78.5310459
Sirumugai,Town Panchayat,Coimbatore,...,"19,383","18,223","Sirumugai, Coimbatore, Tamil Nadu, India",11.318228,77.00665
Sithayankottai,Town Panchayat,Dindigul,...,"12,099","13,634","Sithayankottai, Dindigul, Tamil Nadu, India",10.269549,77.8316528
Sithurajapuram,Census Town,Virudhunagar,"9,358","13,273","16,860","Sithurajapuram, Virudhunagar, Tamil Nadu, India",9.4233734,77.7826079
Sivaganga,Municipality,Sivaganga,"33,190","40,220","40,403","Sivaganga, Sivaganga, Tamil Nadu, India",9.8486881,78.4870461
Sivagiri,Town Panchayat,Erode,...,"16,255","17,979","Sivagiri, Erode, Tamil Nadu, India",11.119955,77.788266
Sivagiri,Town Panchayat,Tirunelveli,...,"20,380","23,040","Sivagiri, Tirunelveli, Tamil Nadu, India",9.3471299,77.4332285
Sivagiripatti,Census Town,Dindigul,...,...,"17,306","Sivagiripatti, Dindigul, Tamil Nadu, India",10.4558517,77.5316082
Sivakasi,Municipality,Virudhunagar,"65,593","72,168","71,040","Sivakasi, Virudhunagar, Tamil Nadu, India",9.4627995,77.7891013
Somayampalayam,Census Town,Coimbatore,...,"8,963","14,787","Somayampalayam, Coimbatore, Tamil Nadu, India",11.0462449,76.9050297
Srimushnam,Town Panchayat,Cuddalore,...,"11,992","13,971","Srimushnam, Cuddalore, Tamil Nadu, India",11.401355,79.4045922
Sriperumbudur,Town Panchayat,Kanchipuram,"13,091","16,156","24,864","Sriperumbudur, Kanchipuram, Tamil Nadu, India",12.9666144,79.9458077
Sriramapuram,Town Panchayat,Dindigul,...,"8,933","10,653","Sriramapuram, Dindigul, Tamil Nadu, India",10.4335612,77.8083314
Srivilliputhur,Municipality,Virudhunagar,"68,644","73,183","75,396","Srivilliputhur, Virudhunagar, Tamil Nadu, India",9.5601364,77.6091287
Suchindrum (Suchindram),Town Panchayat,Kanniyakumari,...,"12,052","13,193","Suchindrum (Suchindram), Kanniyakumari, Tamil Nadu, India",8.1530435,77.4665764
Sulur,Town Panchayat,Coimbatore,"19,715","24,152","27,909","Sulur, Coimbatore, Tamil Nadu, India",10.9890537,77.1014971
Sundarapandianpattinam,Census Town,Ramanathapuram,...,...,"4,007","Sundarapandianpattinam, Ramanathapuram, Tamil Nadu, India",9.8416644,79.0981936
Sundarapandiapuram,Town Panchayat,Tirunelveli,...,"7,711","8,987","Sundarapandiapuram, Tirunelveli, Tamil Nadu, India",8.9632748,77.3804556
Surampatti,Municipality,Erode,"24,209","31,948","41,782","Surampatti, Erode, Tamil Nadu, India",11.3278082,77.7107402
Surandai,Town Panchayat,Tirunelveli,...,"28,146","35,272","Surandai, Tirunelveli, Tamil Nadu, India",8.9716,77.4212679
Suriyampalayam,Town Panchayat,Erode,...,"21,923","28,585","Suriyampalayam, Erode, Tamil Nadu, India",11.3999999,77.6854438
Swamimalai,Town Panchayat,Thanjavur,...,"6,982","7,289","Swamimalai, Thanjavur, Tamil Nadu, India",10.956686,79.3260401
Tambaram,Municipality,Kanchipuram,"107,187","137,933","174,787","Tambaram, Kanchipuram, Tamil Nadu, India",12.9257778,80.010144
Tenkasi,Municipality,Tirunelveli,"55,189","63,432","70,545","Tenkasi, Tirunelveli, Tamil Nadu, India",8.7452326,77.6803974
Thadikarankonam,Census Town,Kanniyakumari,...,...,"6,241","Thadikarankonam, Kanniyakumari, Tamil Nadu, India",8.3296885,77.4147738
Thadikombu,Town Panchayat,Dindigul,...,"16,081","18,838","Thadikombu, Dindigul, Tamil Nadu, India",10.4370118,77.955043
Thakkolam,Town Panchayat,Vellore,...,"9,908","13,983","Thakkolam, Vellore, Tamil Nadu, India",13.02805,79.733461
Thalainayar,Town Panchayat,Nagapattinam,...,"11,635","12,798","Thalainayar, Nagapattinam, Tamil Nadu, India",10.5632956,79.7732842
Thalakudi,Census Town,Tiruchirappalli,...,...,"5,740","Thalakudi, Tiruchirappalli, Tamil Nadu, India",10.87436,78.7204
Thammampatti,Town Panchayat,Salem,...,"20,751","21,503","Thammampatti, Salem, Tamil Nadu, India",11.4422457,78.4858502
Thanakkankulam,Census Town,Madurai,...,"9,748","14,328","Thanakkankulam, Madurai, Tamil Nadu, India",9.8826931,78.04019
Thanjavur,Municipality,Thanjavur,"202,013","215,314","222,943","Thanjavur, Thanjavur, Tamil Nadu, India",10.7860267,79.1381497
Tharamangalam,Town Panchayat,Salem,"17,795","22,144","30,222","Tharamangalam, Salem, Tamil Nadu, India",11.6916951,77.96677
Tharangambadi,Town Panchayat,Nagapattinam,"18,881","20,843","23,191","Tharangambadi, Nagapattinam, Tamil Nadu, India",11.03082,79.851877
Thathaiyangarpet,Town Panchayat,Tiruchirappalli,...,"12,286","12,980","Thathaiyangarpet, Tiruchirappalli, Tamil Nadu, India",11.121255,78.4496465
Thazhakudy,Town Panchayat,Kanniyakumari,...,"8,568","8,992","Thazhakudy, Kanniyakumari, Tamil Nadu, India",8.2329741,77.453627
Thedavur,Town Panchayat,Salem,...,"7,461","8,230","Thedavur, Salem, Tamil Nadu, India",11.4943552,78.6972454
Thenambakkam,Census Town,Kanchipuram,...,"9,357","13,994","Thenambakkam, Kanchipuram, Tamil Nadu, India",12.8087798,79.7328998
Theni Allinagaram,Municipality,Theni,"66,050","85,498","94,453","Theni Allinagaram, Theni, Tamil Nadu, India",10.01456,77.477677
Thenthiruperai,Town Panchayat,Thoothukkudi,...,"5,096","4,934","Thenthiruperai, Thoothukkudi, Tamil Nadu, India",8.604305,77.9855821
Thevur,Town Panchayat,Salem,...,"8,115","8,548","Thevur, Salem, Tamil Nadu, India",11.5266869,77.7541079
Thikkanamcode,Census Town,Kanniyakumari,...,...,"14,086","Thikkanamcode, Kanniyakumari, Tamil Nadu, India",8.221252,77.2733491
Thindal,Census Town,Erode,...,...,"15,440","Thindal, Erode, Tamil Nadu, India",11.3197451,77.6759378
Thirukarungudi,Town Panchayat,Tirunelveli,...,"8,875","9,342","Thirukarungudi, Tirunelveli, Tamil Nadu, India",8.4362808,77.5656802
Thirumalayampalayam,Town Panchayat,Coimbatore,...,"11,136","12,164","Thirumalayampalayam, Coimbatore, Tamil Nadu, India",10.8794833,76.9296776
Thirumangalam (Tirumangalam),Municipality,Madurai,"34,601","43,631","51,194","Thirumangalam (Tirumangalam), Madurai, Tamil Nadu, India",9.8459909,77.9792228
Thirumazhisai,Town Panchayat,Thiruvallur,...,"16,291","19,733","Thirumazhisai, Thiruvallur, Tamil Nadu, India",13.0540139,80.0607568
Thirunagar,Town Panchayat,Madurai,...,"15,547","16,598","Thirunagar, Madurai, Tamil Nadu, India",9.9385046,78.0127284
Thirunageswaram,Town Panchayat,Thanjavur,...,"13,797","15,082","Thirunageswaram, Thanjavur, Tamil Nadu, India",10.9620594,79.4322506
Thiruneermalai,Town Panchayat,Kanchipuram,...,"19,228","30,702","Thiruneermalai, Kanchipuram, Tamil Nadu, India",12.9635669,80.0799866
Thiruparankundram,Municipality with Outgrowth,Madurai,"30,078","39,048","50,004","Thiruparankundram, Madurai, Tamil Nadu, India",9.8763294,78.071195
Thiruppalai,Census Town,Madurai,...,...,"19,305","Thiruppalai, Madurai, Tamil Nadu, India",9.9730664,78.139532
Thiruthangal,Municipality,Virudhunagar,"36,582","49,190","55,362","Thiruthangal, Virudhunagar, Tamil Nadu, India",9.4776401,77.8062084
Thiruthuraipoondi,Municipality,Thiruvarur,"23,328","22,905","24,404","Thiruthuraipoondi, Thiruvarur, Tamil Nadu, India",10.5317373,79.6400749
Thiruvaiyaru,Town Panchayat,Thanjavur,"14,495","14,511","16,164","Thiruvaiyaru, Thanjavur, Tamil Nadu, India",10.8797198,79.1039298
Thiruvalam,Town Panchayat,Vellore,...,"7,936","9,153","Thiruvalam, Vellore, Tamil Nadu, India",12.9857071,79.2638223
Thiruvallur (Tiruvallur),Municipality,Thiruvallur,"38,564","45,732","56,074","Thiruvallur (Tiruvallur), Thiruvallur, Tamil Nadu, India",13.1354377,79.9089289
Thiruvarur,Municipality,Thiruvarur,"49,195","56,341","58,301","Thiruvarur, Thiruvarur, Tamil Nadu, India",10.7666538,79.6352476
Thiruvattar,Town Panchayat,Kanniyakumari,...,"18,272","18,985","Thiruvattar, Kanniyakumari, Tamil Nadu, India",8.3305895,77.2655506
Thiruvennainallur,Town Panchayat,Viluppuram,...,"8,582","9,623","Thiruvennainallur, Viluppuram, Tamil Nadu, India",11.866427,79.4053467
Thiruverumbur,Town Panchayat,Tiruchirappalli,...,"16,824","23,156","Thiruverumbur, Tiruchirappalli, Tamil Nadu, India",10.7403972,78.7906188
Thiruvidaimarudur,Town Panchayat,Thanjavur,...,"13,765","14,786","Thiruvidaimarudur, Thanjavur, Tamil Nadu, India",11.0741829,79.4751594
Thisayanvilai,Town Panchayat,Tirunelveli,...,"19,559","23,702","Thisayanvilai, Tirunelveli, Tamil Nadu, India",8.3355721,77.8668199
Thondamuthur,Town Panchayat,Coimbatore,...,"9,340","11,492","Thondamuthur, Coimbatore, Tamil Nadu, India",10.9915465,76.8428673
Thondi,Town Panchayat,Ramanathapuram,...,"15,304","18,465","Thondi, Ramanathapuram, Tamil Nadu, India",9.7422651,79.0175877
Thoothukkudi (Thoothukudi),Municipal Corporation,Thoothukkudi,"199,854","216,054","237,830","Thoothukkudi (Thoothukudi), Thoothukkudi, Tamil Nadu, India",8.81038,78.133468
Thorapadi,Town Panchayat,Cuddalore,...,"5,523","7,659","Thorapadi, Cuddalore, Tamil Nadu, India",11.79507,79.529
Thottiyam,Town Panchayat,Tiruchirappalli,...,"13,683","14,909","Thottiyam, Tiruchirappalli, Tamil Nadu, India",11.0236496,78.2998582
Thudiyalur,Town Panchayat,Coimbatore,...,"21,004","33,924","Thudiyalur, Coimbatore, Tamil Nadu, India",11.0805532,76.9421498
Thuraiyur,Municipality,Tiruchirappalli,"27,640","31,005","32,439","Thuraiyur, Tiruchirappalli, Tamil Nadu, India",11.2302028,78.5650695
Thuvakudi,Municipality,Tiruchirappalli,...,"35,428","38,887","Thuvakudi, Tiruchirappalli, Tamil Nadu, India",10.7471515,78.821414
Timiri,Town Panchayat,Vellore,...,"14,953","16,246","Timiri, Vellore, Tamil Nadu, India",12.8167665,79.3106192
Tindivanam,Municipality,Viluppuram,"61,579","67,737","72,796","Tindivanam, Viluppuram, Tamil Nadu, India",12.2291607,79.6515314
Tiruchengode,Municipality,Namakkal,"63,027","80,187","95,335","Tiruchengode, Namakkal, Tamil Nadu, India",11.3786608,77.8949223
Tiruchirappalli,Municipal Corporation,Tiruchirappalli,"387,223","752,066","847,387","Tiruchirappalli, Tiruchirappalli, Tamil Nadu, India",10.8071144,78.6880939
Tirunelveli,Municipal Corporation,Tirunelveli,"135,825","411,831","473,637","Tirunelveli, Tirunelveli, Tamil Nadu, India",8.7331721,77.710255
Tirupattur,Census Town,Vellore,...,"13,377","19,487","Tirupattur, Vellore, Tamil Nadu, India",12.4967103,78.5660198
Tiruppur,Municipal Corporation,Tiruppur,"235,661","344,543","444,352","Tiruppur, Tiruppur, Tamil Nadu, India",11.1017815,77.345192
Tiruvannamalai,Municipality,Tiruvannamalai,"109,196","130,567","145,278","Tiruvannamalai, Tiruvannamalai, Tamil Nadu, India",12.2343228,79.0761989
Tiruvottiyur,Municipality,Thiruvallur,"168,642","212,281","249,446","Tiruvottiyur, Thiruvallur, Tamil Nadu, India",13.1563873,80.3005279
Tittakudi,Town Panchayat,Cuddalore,...,"20,735","22,894","Tittakudi, Cuddalore, Tamil Nadu, India",11.442171,79.1152555
T.Kallupatti,Town Panchayat,Madurai,...,"9,416","10,762","T.Kallupatti, Madurai, Tamil Nadu, India",9.7205512,77.8517326
TNPL Pugalur,Town Panchayat,Karur,...,"5,865","5,556","TNPL Pugalur, Karur, Tamil Nadu, India",11.0622422,77.992627
Udayarpalayam,Town Panchayat,Ariyalur,...,"11,320","12,688","Udayarpalayam, Ariyalur, Tamil Nadu, India",11.1588137,79.3444131
Udhagamandalam (Ooty),Municipality,The Nilgiris,"81,763","93,987","88,430","Udhagamandalam (Ooty), The Nilgiris, Tamil Nadu, India",11.4124436,76.7014757
Udumalaipettai,Municipality,Tiruppur,"58,678","59,668","61,133","Udumalaipettai, Tiruppur, Tamil Nadu, India",10.5839,77.25
Ullur,Census Town,Thanjavur,...,"7,781","11,673","Ullur, Thanjavur, Tamil Nadu, India",10.9712028,79.4018254
Ulundurpettai,Town Panchayat,Viluppuram,...,"19,258","23,734","Ulundurpettai, Viluppuram, Tamil Nadu, India",11.8420733,79.3508292
Unjalur,Town Panchayat,Erode,...,"2,628","2,482","Unjalur, Erode, Tamil Nadu, India",11.1296037,77.8767706
Unnamalaikadai,Town Panchayat,Kanniyakumari,...,"20,666","23,656","Unnamalaikadai, Kanniyakumari, Tamil Nadu, India",8.3067333,77.2400192
Uppidamangalam,Town Panchayat,Karur,...,"10,151","11,292","Uppidamangalam, Karur, Tamil Nadu, India",10.8946779,78.2001279
Urapakkam,Census Town,Kanchipuram,...,"13,445","29,122","Urapakkam, Kanchipuram, Tamil Nadu, India",12.8677022,80.0672078
Usilampatti,Municipality,Madurai,"26,413","30,601","35,219","Usilampatti, Madurai, Tamil Nadu, India",9.9709119,77.7932837
Usuppur,Census Town,Cuddalore,...,"8,043","8,221","Usuppur, Cuddalore, Tamil Nadu, India",11.3800758,79.7011874
Uthamapalayam,Town Panchayat,Theni,"22,703","22,104","29,050","Uthamapalayam, Theni, Tamil Nadu, India",9.7662548,77.3299043
Uthangarai,Town Panchayat,Krishnagiri,...,"15,443","18,470","Uthangarai, Krishnagiri, Tamil Nadu, India",12.2752798,78.4938829
Uthiramerur,Town Panchayat,Kanchipuram,"21,568","23,656","25,194","Uthiramerur, Kanchipuram, Tamil Nadu, India",12.6494251,79.7805747
Uthukuli,Town Panchayat,Tiruppur,...,"8,294","10,130","Uthukuli, Tiruppur, Tamil Nadu, India",11.2246324,77.4379375
Vadalur,Town Panchayat,Cuddalore,...,"26,016","39,514","Vadalur, Cuddalore, Tamil Nadu, India",11.5551872,79.555067
Vadamadurai,Town Panchayat,Dindigul,...,"15,549","18,015","Vadamadurai, Dindigul, Tamil Nadu, India",10.4409616,78.1008154
Vadavalli,Town Panchayat,Coimbatore,...,"24,779","39,873","Vadavalli, Coimbatore, Tamil Nadu, India",11.0253387,76.9051251
Vadipatti,Town Panchayat,Madurai,...,"21,833","26,830","Vadipatti, Madurai, Tamil Nadu, India",10.0790057,78.0360014
Vadugapatti,Town Panchayat,Erode,...,"10,921","9,657","Vadugapatti, Erode, Tamil Nadu, India",11.1416286,77.7216314
Vadugapatti,Town Panchayat,Theni,...,"12,377","13,204","Vadugapatti, Theni, Tamil Nadu, India",10.1051632,77.5710678
